brand,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,grand_total
Acura,5717,9299,13220,10980,6460,7184,6073,7537,8182,9136,8082,10436,102306
Alfa Romeo,1052,1052,1184,1054,1015,1015,1132,1175,1132,1011,970,1051,12843
Audi,11364,11364,12780,17994,15824,15824,16239,6215,16213,18018,17296,18738,177869
BMW,23478,23477,26757,26966,25968,25969,25680,26669,25680,33076,32556,35267,331543
Buick,6126,6126,6893,9870,9504,9504,9388,9748,9388,8973,8615,9333,103468
Cadillac,9030,9030,10156,11512,11086,11086,11069,11495,11105,13046,12525,13567,134707
Chevrolet,109638,109638,123343,131178,126319,126319,122238,126939,122238,140341,131850,142834,1512875
Chrysler,9316,9316,10481,12623,12156,12156,7113,7387,7113,8351,8017,8685,112714
Dodge,13135,13135,14775,14941,14941,14388,19668,20422,19665,15426,14808,16043,191347
Fiat,109,109,122,86,83,83,69,71,69,39,38,41,919
Ford,136705,122306,151015,166684,142607,144288,155851,150669,134967,149721,138880,170574,1764267
Genesis,3638,3482,4603,5039,4400,4506,5203,5090,4838,4306,4944,6149,56198
GMC,38828,38828,43782,45133,43462,43462,39662,41188,39662,47886,45970,49800,517663
Honda,68232,75095,94855,82270,69031,63864,65162,63924,71172,72409,71780,83407,881201
Hyundai,40518,52424,59380,61668,59432,63091,60631,64335,59465,60604,63305,72058,716911
Infiniti,3599,3599,4048,3608,3474,3474,3700,3842,3700,4525,4343,4704,46616
Jaguar,901,901,1014,660,656,634,776,807,776,848,813,882,9668
Jeep,61853,61850,69580,63796,61433,61433,53102,55144,53102,47774,45862,49684,684613
Karma,-,-,90,-,-,-,15,15,15,4,4,5,148
Kia,42488,47057,59524,59063,57941,55843,62449,62449,56270,58276,56703,60422,678485
Land Rover,5568,5568,6264,3579,3446,3446,4163,4324,3045,7438,6065,6574,59480
Lexus,20620,20231,23514,22296,21767,22660,24053,21753,21718,21797,17917,20108,258434
Lincoln,5740,5923,7485,9258,7593,6894,6968,6393,6666,7196,6104,7266,83486
Lucid,-,-,-,-,-,500,197,205,197,283,272,295,1949
Mazda,21079,28166,33023,30093,15312,15130,23393,25426,23770,25319,26906,27292,294909
Mercedes-Benz,23630,18513,27029,33749,32530,32530,28857,29970,27585,29369,28195,30930,342887
Mini,2200,2200,2475,1753,1688,1688,2362,2453,2362,3440,3302,3577,29500
Mitsubishi,8447,8447,9504,7475,7198,7198,5523,5735,5523,6919,6642,7194,85805
Nissan,60749,60749,68341,58997,56811,56812,47013,48821,47014,59082,56718,61642,682749
Polestar,-,-,260,-,-,2300,757,786,757,700,672,728,6960
Porsche,4176,4176,4699,6661,6414,6414,5457,5666,5457,6972,6694,7250,70036
Ram,44209,44209,49735,47121,45376,45376,45844,47607,45844,43291,41560,45023,545195
Rivian,-,-,900,-,-,700,2007,2085,2007,2000,1920,2080,13699
Subaru,44158,44866,43322,45748,42526,43175,41536,50126,45658,48568,50138,56760,556581
Tesla,37594,36202,89575,40568,39066,39066,37518,38962,37518,46667,44800,48533,536069
Toyota,126500,136275,170664,157760,149584,109490,149353,143057,119547,158002,144621,153932,1718785
Volkswagen,20797,20797,23397,25763,25763,25763,28330,29419,28330,7434,7137,7731,250661
Volvo,7110,6219,9367,10022,9372,8434,6868,8136,6627,9478,9233,11111,101977
